"Year","Month","Date","Area","Value"
2025,7,2025-07-31,"Armagh",144
2025,7,2025-07-31,"Ballymena",60
2025,7,2025-07-31,"Coleraine",148
2025,7,2025-07-31,"Dungannon",263
2025,7,2025-07-31,"Enniskillen",169
2025,7,2025-07-31,"L'derry/Strabane",34
2025,7,2025-07-31,"Mallusk",34
2025,7,2025-07-31,"Newry",271
2025,7,2025-07-31,"Nt'Ards",271
2025,7,2025-07-31,"Omagh",135
2025,7,2025-07-31,"Total",1529
2025,6,2025-06-30,"Armagh",82
2025,6,2025-06-30,"Ballymena",44
2025,6,2025-06-30,"Coleraine",121
2025,6,2025-06-30,"Dungannon",120
2025,6,2025-06-30,"Enniskillen",155
2025,6,2025-06-30,"L'derry/Strabane",105
2025,6,2025-06-30,"Mallusk",33
2025,6,2025-06-30,"Newry",252
2025,6,2025-06-30,"Nt'Ards",214
2025,6,2025-06-30,"Omagh",172
2025,6,2025-06-30,"Total",1298
2025,5,2025-05-31,"Armagh",150
2025,5,2025-05-31,"Ballymena",56
2025,5,2025-05-31,"Coleraine",206
2025,5,2025-05-31,"Dungannon",122
2025,5,2025-05-31,"Enniskillen",200
2025,5,2025-05-31,"L'derry/Strabane",24
2025,5,2025-05-31,"Mallusk",38
2025,5,2025-05-31,"Newry",278
2025,5,2025-05-31,"Nt'Ards",300
2025,5,2025-05-31,"Omagh",161
2025,5,2025-05-31,"Total",1535
2025,4,2025-04-30,"Armagh",164
2025,4,2025-04-30,"Ballymena",127
2025,4,2025-04-30,"Coleraine",178
2025,4,2025-04-30,"Dungannon",160
2025,4,2025-04-30,"Enniskillen",103
2025,4,2025-04-30,"L'derry/Strabane",53
2025,4,2025-04-30,"Mallusk",130
2025,4,2025-04-30,"Newry",292
2025,4,2025-04-30,"Nt'Ards",188
2025,4,2025-04-30,"Omagh",183
2025,4,2025-04-30,"Total",1578
2025,3,2025-03-31,"Armagh",140
2025,3,2025-03-31,"Ballymena",43
2025,3,2025-03-31,"Coleraine",170
2025,3,2025-03-31,"Dungannon",197
2025,3,2025-03-31,"Enniskillen",281
2025,3,2025-03-31,"L'derry/Strabane",46
2025,3,2025-03-31,"Mallusk",20
2025,3,2025-03-31,"Newry",258
2025,3,2025-03-31,"Nt'Ards",212
2025,3,2025-03-31,"Omagh",182
2025,3,2025-03-31,"Total",1549
2025,2,2025-02-28,"Armagh",95
2025,2,2025-02-28,"Ballymena",39
2025,2,2025-02-28,"Coleraine",148
2025,2,2025-02-28,"Dungannon",154
2025,2,2025-02-28,"Enniskillen",177
2025,2,2025-02-28,"L'derry/Strabane",23
2025,2,2025-02-28,"Mallusk",16
2025,2,2025-02-28,"Newry",326
2025,2,2025-02-28,"Nt'Ards",331
2025,2,2025-02-28,"Omagh",154
2025,2,2025-02-28,"Total",1463
2025,1,2025-01-31,"Armagh",102
2025,1,2025-01-31,"Ballymena",125
2025,1,2025-01-31,"Coleraine",249
2025,1,2025-01-31,"Dungannon",105
2025,1,2025-01-31,"Enniskillen",335
2025,1,2025-01-31,"L'derry/Strabane",93
2025,1,2025-01-31,"Mallusk",58
2025,1,2025-01-31,"Newry",275
2025,1,2025-01-31,"Nt'Ards",333
2025,1,2025-01-31,"Omagh",184
2025,1,2025-01-31,"Total",1859
2024,12,2024-12-31,"Armagh",88
2024,12,2024-12-31,"Ballymena",32
2024,12,2024-12-31,"Coleraine",282
2024,12,2024-12-31,"Dungannon",231
2024,12,2024-12-31,"Enniskillen",262
2024,12,2024-12-31,"L'derry/Strabane",52
2024,12,2024-12-31,"Mallusk",40
2024,12,2024-12-31,"Newry",305
2024,12,2024-12-31,"Nt'Ards",202
2024,12,2024-12-31,"Omagh",166
2024,12,2024-12-31,"Total",1660
2024,11,2024-11-30,"Armagh",181
2024,11,2024-11-30,"Ballymena",105
2024,11,2024-11-30,"Coleraine",285
2024,11,2024-11-30,"Dungannon",237
2024,11,2024-11-30,"Enniskillen",436
2024,11,2024-11-30,"L'derry/Strabane",100
2024,11,2024-11-30,"Mallusk",66
2024,11,2024-11-30,"Newry",442
2024,11,2024-11-30,"Nt'Ards",211
2024,11,2024-11-30,"Omagh",293
2024,11,2024-11-30,"Total",2356
2024,10,2024-10-31,"Armagh",108
2024,10,2024-10-31,"Ballymena",57
2024,10,2024-10-31,"Coleraine",184
2024,10,2024-10-31,"Dungannon",121
2024,10,2024-10-31,"Enniskillen",413
2024,10,2024-10-31,"L'derry/Strabane",65
2024,10,2024-10-31,"Mallusk",59
2024,10,2024-10-31,"Newry",280
2024,10,2024-10-31,"Nt'Ards",223
2024,10,2024-10-31,"Omagh",236
2024,10,2024-10-31,"Total",1746
2024,9,2024-09-30,"Armagh",124
2024,9,2024-09-30,"Ballymena",96
2024,9,2024-09-30,"Coleraine",278
2024,9,2024-09-30,"Dungannon",128
2024,9,2024-09-30,"Enniskillen",239
2024,9,2024-09-30,"L'derry/Strabane",88
2024,9,2024-09-30,"Mallusk",45
2024,9,2024-09-30,"Newry",236
2024,9,2024-09-30,"Nt'Ards",250
2024,9,2024-09-30,"Omagh",163
2024,9,2024-09-30,"Total",1647
2024,8,2024-08-31,"Armagh",173
2024,8,2024-08-31,"Ballymena",107
2024,8,2024-08-31,"Coleraine",215
2024,8,2024-08-31,"Dungannon",242
2024,8,2024-08-31,"Enniskillen",360
2024,8,2024-08-31,"L'derry/Strabane",41
2024,8,2024-08-31,"Mallusk",30
2024,8,2024-08-31,"Newry",322
2024,8,2024-08-31,"Nt'Ards",394
2024,8,2024-08-31,"Omagh",405
2024,8,2024-08-31,"Total",2289
2024,7,2024-07-31,"Armagh",96
2024,7,2024-07-31,"Ballymena",54
2024,7,2024-07-31,"Coleraine",225
2024,7,2024-07-31,"Dungannon",93
2024,7,2024-07-31,"Enniskillen",359
2024,7,2024-07-31,"L'derry/Strabane",41
2024,7,2024-07-31,"Mallusk",61
2024,7,2024-07-31,"Newry",189
2024,7,2024-07-31,"Nt'Ards",324
2024,7,2024-07-31,"Omagh",85
2024,7,2024-07-31,"Total",1527
2024,6,2024-06-30,"Armagh",114
2024,6,2024-06-30,"Ballymena",79
2024,6,2024-06-30,"Coleraine",106
2024,6,2024-06-30,"Dungannon",75
2024,6,2024-06-30,"Enniskillen",202
2024,6,2024-06-30,"L'derry/Strabane",28
2024,6,2024-06-30,"Mallusk",21
2024,6,2024-06-30,"Newry",323
2024,6,2024-06-30,"Nt'Ards",165
2024,6,2024-06-30,"Omagh",218
2024,6,2024-06-30,"Total",1331
2024,5,2024-05-31,"Armagh",187
2024,5,2024-05-31,"Ballymena",92
2024,5,2024-05-31,"Coleraine",93
2024,5,2024-05-31,"Dungannon",172
2024,5,2024-05-31,"Enniskillen",174
2024,5,2024-05-31,"L'derry/Strabane",93
2024,5,2024-05-31,"Mallusk",10
2024,5,2024-05-31,"Newry",344
2024,5,2024-05-31,"Nt'Ards",162
2024,5,2024-05-31,"Omagh",185
2024,5,2024-05-31,"Total",1512
2024,4,2024-04-30,"Armagh",111
2024,4,2024-04-30,"Ballymena",60
2024,4,2024-04-30,"Coleraine",178
2024,4,2024-04-30,"Dungannon",178
2024,4,2024-04-30,"Enniskillen",229
2024,4,2024-04-30,"L'derry/Strabane",91
2024,4,2024-04-30,"Mallusk",34
2024,4,2024-04-30,"Newry",193
2024,4,2024-04-30,"Nt'Ards",245
2024,4,2024-04-30,"Omagh",215
2024,4,2024-04-30,"Total",1534
2024,3,2024-03-31,"Armagh",322
2024,3,2024-03-31,"Ballymena",76
2024,3,2024-03-31,"Coleraine",164
2024,3,2024-03-31,"Dungannon",151
2024,3,2024-03-31,"Enniskillen",197
2024,3,2024-03-31,"L'derry/Strabane",76
2024,3,2024-03-31,"Mallusk",33
2024,3,2024-03-31,"Newry",378
2024,3,2024-03-31,"Nt'Ards",200
2024,3,2024-03-31,"Omagh",169
2024,3,2024-03-31,"Total",1766
2024,2,2024-02-29,"Armagh",76
2024,2,2024-02-29,"Ballymena",59
2024,2,2024-02-29,"Coleraine",162
2024,2,2024-02-29,"Dungannon",211
2024,2,2024-02-29,"Enniskillen",231
2024,2,2024-02-29,"L'derry/Strabane",107
2024,2,2024-02-29,"Mallusk",34
2024,2,2024-02-29,"Newry",192
2024,2,2024-02-29,"Nt'Ards",198
2024,2,2024-02-29,"Omagh",280
2024,2,2024-02-29,"Total",1550
2024,1,2024-01-31,"Armagh",142
2024,1,2024-01-31,"Ballymena",62
2024,1,2024-01-31,"Coleraine",202
2024,1,2024-01-31,"Dungannon",285
2024,1,2024-01-31,"Enniskillen",242
2024,1,2024-01-31,"L'derry/Strabane",55
2024,1,2024-01-31,"Mallusk",15
2024,1,2024-01-31,"Newry",226
2024,1,2024-01-31,"Nt'Ards",162
2024,1,2024-01-31,"Omagh",201
2024,1,2024-01-31,"Total",1592
2023,12,2023-12-31,"Armagh",144
2023,12,2023-12-31,"Ballymena",63
2023,12,2023-12-31,"Coleraine",142
2023,12,2023-12-31,"Dungannon",198
2023,12,2023-12-31,"Enniskillen",310
2023,12,2023-12-31,"L'derry/Strabane",73
2023,12,2023-12-31,"Mallusk",40
2023,12,2023-12-31,"Newry",325
2023,12,2023-12-31,"Nt'Ards",237
2023,12,2023-12-31,"Omagh",246
2023,12,2023-12-31,"Total",1778
2023,11,2023-11-30,"Armagh",314
2023,11,2023-11-30,"Ballymena",94
2023,11,2023-11-30,"Coleraine",248
2023,11,2023-11-30,"Dungannon",206
2023,11,2023-11-30,"Enniskillen",244
2023,11,2023-11-30,"L'derry/Strabane",69
2023,11,2023-11-30,"Mallusk",11
2023,11,2023-11-30,"Newry",375
2023,11,2023-11-30,"Nt'Ards",340
2023,11,2023-11-30,"Omagh",446
2023,11,2023-11-30,"Total",2347
2023,10,2023-10-31,"Armagh",164
2023,10,2023-10-31,"Ballymena",74
2023,10,2023-10-31,"Coleraine",151
2023,10,2023-10-31,"Dungannon",296
2023,10,2023-10-31,"Enniskillen",319
2023,10,2023-10-31,"L'derry/Strabane",64
2023,10,2023-10-31,"Mallusk",22
2023,10,2023-10-31,"Newry",421
2023,10,2023-10-31,"Nt'Ards",198
2023,10,2023-10-31,"Omagh",127
2023,10,2023-10-31,"Total",1836
2023,9,2023-09-30,"Armagh",93
2023,9,2023-09-30,"Ballymena",66
2023,9,2023-09-30,"Coleraine",104
2023,9,2023-09-30,"Dungannon",151
2023,9,2023-09-30,"Enniskillen",278
2023,9,2023-09-30,"L'derry/Strabane",26
2023,9,2023-09-30,"Mallusk",27
2023,9,2023-09-30,"Newry",255
2023,9,2023-09-30,"Nt'Ards",249
2023,9,2023-09-30,"Omagh",187
2023,9,2023-09-30,"Total",1436
2023,8,2023-08-31,"Armagh",252
2023,8,2023-08-31,"Ballymena",91
2023,8,2023-08-31,"Coleraine",170
2023,8,2023-08-31,"Dungannon",135
2023,8,2023-08-31,"Enniskillen",285
2023,8,2023-08-31,"L'derry/Strabane",36
2023,8,2023-08-31,"Mallusk",15
2023,8,2023-08-31,"Newry",351
2023,8,2023-08-31,"Nt'Ards",279
2023,8,2023-08-31,"Omagh",156
2023,8,2023-08-31,"Total",1770
2023,7,2023-07-31,"Armagh",160
2023,7,2023-07-31,"Ballymena",74
2023,7,2023-07-31,"Coleraine",112
2023,7,2023-07-31,"Dungannon",149
2023,7,2023-07-31,"Enniskillen",227
2023,7,2023-07-31,"L'derry/Strabane",48
2023,7,2023-07-31,"Mallusk",21
2023,7,2023-07-31,"Newry",230
2023,7,2023-07-31,"Nt'Ards",251
2023,7,2023-07-31,"Omagh",147
2023,7,2023-07-31,"Total",1419
2023,6,2023-06-30,"Armagh",99
2023,6,2023-06-30,"Ballymena",31
2023,6,2023-06-30,"Coleraine",115
2023,6,2023-06-30,"Dungannon",70
2023,6,2023-06-30,"Enniskillen",81
2023,6,2023-06-30,"L'derry/Strabane",9
2023,6,2023-06-30,"Mallusk",24
2023,6,2023-06-30,"Newry",186
2023,6,2023-06-30,"Nt'Ards",161
2023,6,2023-06-30,"Omagh",150
2023,6,2023-06-30,"Total",926
2023,5,2023-05-31,"Armagh",88
2023,5,2023-05-31,"Ballymena",64
2023,5,2023-05-31,"Coleraine",106
2023,5,2023-05-31,"Dungannon",121
2023,5,2023-05-31,"Enniskillen",185
2023,5,2023-05-31,"L'derry/Strabane",22
2023,5,2023-05-31,"Mallusk",32
2023,5,2023-05-31,"Newry",130
2023,5,2023-05-31,"Nt'Ards",135
2023,5,2023-05-31,"Omagh",153
2023,5,2023-05-31,"Total",1036
2023,4,2023-04-30,"Armagh",208
2023,4,2023-04-30,"Ballymena",39
2023,4,2023-04-30,"Coleraine",140
2023,4,2023-04-30,"Dungannon",117
2023,4,2023-04-30,"Enniskillen",160
2023,4,2023-04-30,"L'derry/Strabane",110
2023,4,2023-04-30,"Mallusk",10
2023,4,2023-04-30,"Newry",188
2023,4,2023-04-30,"Nt'Ards",99
2023,4,2023-04-30,"Omagh",51
2023,4,2023-04-30,"Total",1122
2023,3,2023-03-31,"Armagh",220
2023,3,2023-03-31,"Ballymena",44
2023,3,2023-03-31,"Coleraine",142
2023,3,2023-03-31,"Dungannon",117
2023,3,2023-03-31,"Enniskillen",228
2023,3,2023-03-31,"L'derry/Strabane",78
2023,3,2023-03-31,"Mallusk",52
2023,3,2023-03-31,"Newry",169
2023,3,2023-03-31,"Nt'Ards",231
2023,3,2023-03-31,"Omagh",192
2023,3,2023-03-31,"Total",1473
2023,2,2023-02-28,"Armagh",156
2023,2,2023-02-28,"Ballymena",83
2023,2,2023-02-28,"Coleraine",121
2023,2,2023-02-28,"Dungannon",89
2023,2,2023-02-28,"Enniskillen",258
2023,2,2023-02-28,"L'derry/Strabane",41
2023,2,2023-02-28,"Mallusk",28
2023,2,2023-02-28,"Newry",232
2023,2,2023-02-28,"Nt'Ards",114
2023,2,2023-02-28,"Omagh",94
2023,2,2023-02-28,"Total",1216
2023,1,2023-01-31,"Armagh",172
2023,1,2023-01-31,"Ballymena",111
2023,1,2023-01-31,"Coleraine",200
2023,1,2023-01-31,"Dungannon",241
2023,1,2023-01-31,"Enniskillen",428
2023,1,2023-01-31,"L'derry/Strabane",63
2023,1,2023-01-31,"Mallusk",42
2023,1,2023-01-31,"Newry",268
2023,1,2023-01-31,"Nt'Ards",94
2023,1,2023-01-31,"Omagh",172
2023,1,2023-01-31,"Total",1791
